[17-Oct-2014 23:11:45 America/New_York] PHP Parse error:  syntax error, unexpected 'f4b7f82db3e9bd1' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[17-Oct-2014 23:11:45 America/New_York] PHP Stack trace:
[17-Oct-2014 23:11:45 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[17-Oct-2014 23:11:45 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[17-Oct-2014 23:11:45 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[17-Oct-2014 23:11:45 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[17-Oct-2014 23:11:45 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[17-Oct-2014 23:11:45 America/New_York] PHP   6. drupal_render() /var/www/drupal_7/includes/common.inc:5760
[17-Oct-2014 23:11:45 America/New_York] PHP   7. theme() /var/www/drupal_7/includes/common.inc:5898
[17-Oct-2014 23:11:45 America/New_York] PHP   8. template_process_page() /var/www/drupal_7/includes/theme.inc:1122
[17-Oct-2014 23:11:45 America/New_York] PHP   9. drupal_get_breadcrumb() /var/www/drupal_7/includes/theme.inc:2602
[17-Oct-2014 23:11:45 America/New_York] PHP  10. menu_get_active_breadcrumb() /var/www/drupal_7/includes/common.inc:259
[17-Oct-2014 23:11:45 America/New_York] PHP  11. menu_get_active_trail() /var/www/drupal_7/includes/menu.inc:2572
[17-Oct-2014 23:11:45 America/New_York] PHP  12. menu_set_active_trail() /var/www/drupal_7/includes/menu.inc:2554
[17-Oct-2014 23:11:45 America/New_York] PHP  13. menu_link_get_preferred() /var/www/drupal_7/includes/menu.inc:2385
[17-Oct-2014 23:11:45 America/New_York] PHP  14. menu_get_item() /var/www/drupal_7/includes/menu.inc:2476
[17-Oct-2014 23:11:45 America/New_York] PHP  15. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[17-Oct-2014 23:11:45 America/New_York] PHP  16. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[17-Oct-2014 23:11:45 America/New_York] PHP  17. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[17-Oct-2014 23:11:45 America/New_York] PHP  18. php_eval() /var/www/drupal_7/includes/menu.inc:637
[17-Oct-2014 23:13:12 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[17-Oct-2014 23:13:12 America/New_York] PHP Stack trace:
[17-Oct-2014 23:13:12 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[17-Oct-2014 23:13:12 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[17-Oct-2014 23:13:12 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[17-Oct-2014 23:13:12 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[17-Oct-2014 23:13:12 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[17-Oct-2014 23:13:12 America/New_York] PHP   6. block_page_build() /var/www/drupal_7/includes/common.inc:5747
[17-Oct-2014 23:13:12 America/New_York] PHP   7. block_get_blocks_by_region() /var/www/drupal_7/modules/block/block.module:268
[17-Oct-2014 23:13:12 America/New_York] PHP   8. block_list() /var/www/drupal_7/modules/block/block.module:318
[17-Oct-2014 23:13:12 America/New_York] PHP   9. _block_render_blocks() /var/www/drupal_7/modules/block/block.module:686
[17-Oct-2014 23:13:12 America/New_York] PHP  10. module_invoke() /var/www/drupal_7/modules/block/block.module:893
[17-Oct-2014 23:13:12 America/New_York] PHP  11. call_user_func_array() /var/www/drupal_7/includes/module.inc:866
[17-Oct-2014 23:13:12 America/New_York] PHP  12. system_block_view() /var/www/drupal_7/includes/module.inc:866
[17-Oct-2014 23:13:12 America/New_York] PHP  13. menu_get_active_help() /var/www/drupal_7/modules/system/system.module:2088
[17-Oct-2014 23:13:12 America/New_York] PHP  14. menu_tab_root_path() /var/www/drupal_7/includes/menu.inc:1710
[17-Oct-2014 23:13:12 America/New_York] PHP  15. menu_local_tasks() /var/www/drupal_7/includes/menu.inc:2254
[17-Oct-2014 23:13:12 America/New_York] PHP  16. menu_get_item() /var/www/drupal_7/includes/menu.inc:1919
[17-Oct-2014 23:13:12 America/New_York] PHP  17. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[17-Oct-2014 23:13:12 America/New_York] PHP  18. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[17-Oct-2014 23:13:12 America/New_York] PHP  19. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[17-Oct-2014 23:13:12 America/New_York] PHP  20. php_eval() /var/www/drupal_7/includes/menu.inc:637
[17-Oct-2014 23:13:14 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[17-Oct-2014 23:13:14 America/New_York] PHP Stack trace:
[17-Oct-2014 23:13:14 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[17-Oct-2014 23:13:14 America/New_York] PHP   2. drupal_bootstrap() /var/www/drupal_7/index.php:20
[17-Oct-2014 23:13:14 America/New_York] PHP   3. _drupal_bootstrap_full() /var/www/drupal_7/includes/bootstrap.inc:2267
[17-Oct-2014 23:13:14 America/New_York] PHP   4. menu_set_custom_theme() /var/www/drupal_7/includes/common.inc:5155
[17-Oct-2014 23:13:14 America/New_York] PHP   5. menu_get_custom_theme() /var/www/drupal_7/includes/menu.inc:1770
[17-Oct-2014 23:13:14 America/New_York] PHP   6. menu_get_item() /var/www/drupal_7/includes/menu.inc:1755
[17-Oct-2014 23:13:14 America/New_York] PHP   7. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[17-Oct-2014 23:13:14 America/New_York] PHP   8. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[17-Oct-2014 23:13:14 America/New_York] PHP   9. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[17-Oct-2014 23:13:14 America/New_York] PHP  10. php_eval() /var/www/drupal_7/includes/menu.inc:637
[18-Oct-2014 20:00:19 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[18-Oct-2014 20:00:20 America/New_York] PHP Stack trace:
[18-Oct-2014 20:00:20 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[18-Oct-2014 20:00:20 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[18-Oct-2014 20:00:20 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[18-Oct-2014 20:00:20 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[18-Oct-2014 20:00:20 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[18-Oct-2014 20:00:20 America/New_York] PHP   6. drupal_render() /var/www/drupal_7/includes/common.inc:5760
[18-Oct-2014 20:00:20 America/New_York] PHP   7. theme() /var/www/drupal_7/includes/common.inc:5898
[18-Oct-2014 20:00:20 America/New_York] PHP   8. template_process_page() /var/www/drupal_7/includes/theme.inc:1122
[18-Oct-2014 20:00:20 America/New_York] PHP   9. drupal_get_breadcrumb() /var/www/drupal_7/includes/theme.inc:2602
[18-Oct-2014 20:00:20 America/New_York] PHP  10. menu_get_active_breadcrumb() /var/www/drupal_7/includes/common.inc:259
[18-Oct-2014 20:00:20 America/New_York] PHP  11. menu_get_active_trail() /var/www/drupal_7/includes/menu.inc:2572
[18-Oct-2014 20:00:20 America/New_York] PHP  12. menu_set_active_trail() /var/www/drupal_7/includes/menu.inc:2554
[18-Oct-2014 20:00:20 America/New_York] PHP  13. menu_link_get_preferred() /var/www/drupal_7/includes/menu.inc:2385
[18-Oct-2014 20:00:20 America/New_York] PHP  14. menu_get_item() /var/www/drupal_7/includes/menu.inc:2476
[18-Oct-2014 20:00:20 America/New_York] PHP  15. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[18-Oct-2014 20:00:20 America/New_York] PHP  16. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[18-Oct-2014 20:00:20 America/New_York] PHP  17. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[18-Oct-2014 20:00:20 America/New_York] PHP  18. php_eval() /var/www/drupal_7/includes/menu.inc:637
[18-Oct-2014 22:24:05 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[18-Oct-2014 22:24:05 America/New_York] PHP Stack trace:
[18-Oct-2014 22:24:05 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[18-Oct-2014 22:24:05 America/New_York] PHP   2. drupal_bootstrap() /var/www/drupal_7/index.php:20
[18-Oct-2014 22:24:05 America/New_York] PHP   3. _drupal_bootstrap_full() /var/www/drupal_7/includes/bootstrap.inc:2267
[18-Oct-2014 22:24:05 America/New_York] PHP   4. menu_set_custom_theme() /var/www/drupal_7/includes/common.inc:5155
[18-Oct-2014 22:24:05 America/New_York] PHP   5. menu_get_custom_theme() /var/www/drupal_7/includes/menu.inc:1770
[18-Oct-2014 22:24:05 America/New_York] PHP   6. menu_get_item() /var/www/drupal_7/includes/menu.inc:1755
[18-Oct-2014 22:24:05 America/New_York] PHP   7. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[18-Oct-2014 22:24:05 America/New_York] PHP   8. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[18-Oct-2014 22:24:05 America/New_York] PHP   9. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[18-Oct-2014 22:24:05 America/New_York] PHP  10. php_eval() /var/www/drupal_7/includes/menu.inc:637
[19-Oct-2014 15:56:54 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[19-Oct-2014 15:56:54 America/New_York] PHP Stack trace:
[19-Oct-2014 15:56:54 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[19-Oct-2014 15:56:54 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[19-Oct-2014 15:56:54 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[19-Oct-2014 15:56:54 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[19-Oct-2014 15:56:54 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[19-Oct-2014 15:56:54 America/New_York] PHP   6. drupal_render() /var/www/drupal_7/includes/common.inc:5760
[19-Oct-2014 15:56:54 America/New_York] PHP   7. theme() /var/www/drupal_7/includes/common.inc:5898
[19-Oct-2014 15:56:54 America/New_York] PHP   8. template_process_page() /var/www/drupal_7/includes/theme.inc:1122
[19-Oct-2014 15:56:54 America/New_York] PHP   9. drupal_get_breadcrumb() /var/www/drupal_7/includes/theme.inc:2602
[19-Oct-2014 15:56:54 America/New_York] PHP  10. menu_get_active_breadcrumb() /var/www/drupal_7/includes/common.inc:259
[19-Oct-2014 15:56:54 America/New_York] PHP  11. menu_get_active_trail() /var/www/drupal_7/includes/menu.inc:2572
[19-Oct-2014 15:56:54 America/New_York] PHP  12. menu_set_active_trail() /var/www/drupal_7/includes/menu.inc:2554
[19-Oct-2014 15:56:54 America/New_York] PHP  13. menu_link_get_preferred() /var/www/drupal_7/includes/menu.inc:2385
[19-Oct-2014 15:56:54 America/New_York] PHP  14. menu_get_item() /var/www/drupal_7/includes/menu.inc:2476
[19-Oct-2014 15:56:54 America/New_York] PHP  15. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[19-Oct-2014 15:56:54 America/New_York] PHP  16. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[19-Oct-2014 15:56:54 America/New_York] PHP  17. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[19-Oct-2014 15:56:54 America/New_York] PHP  18. php_eval() /var/www/drupal_7/includes/menu.inc:637
[20-Oct-2014 19:00:47 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[20-Oct-2014 19:00:47 America/New_York] PHP Stack trace:
[20-Oct-2014 19:00:47 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[20-Oct-2014 19:00:47 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[20-Oct-2014 19:00:47 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[20-Oct-2014 19:00:47 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[20-Oct-2014 19:00:47 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[20-Oct-2014 19:00:47 America/New_York] PHP   6. block_page_build() /var/www/drupal_7/includes/common.inc:5747
[20-Oct-2014 19:00:47 America/New_York] PHP   7. block_get_blocks_by_region() /var/www/drupal_7/modules/block/block.module:268
[20-Oct-2014 19:00:47 America/New_York] PHP   8. block_list() /var/www/drupal_7/modules/block/block.module:318
[20-Oct-2014 19:00:47 America/New_York] PHP   9. _block_render_blocks() /var/www/drupal_7/modules/block/block.module:686
[20-Oct-2014 19:00:47 America/New_York] PHP  10. module_invoke() /var/www/drupal_7/modules/block/block.module:893
[20-Oct-2014 19:00:47 America/New_York] PHP  11. call_user_func_array() /var/www/drupal_7/includes/module.inc:866
[20-Oct-2014 19:00:47 America/New_York] PHP  12. system_block_view() /var/www/drupal_7/includes/module.inc:866
[20-Oct-2014 19:00:47 America/New_York] PHP  13. menu_get_active_help() /var/www/drupal_7/modules/system/system.module:2088
[20-Oct-2014 19:00:47 America/New_York] PHP  14. menu_tab_root_path() /var/www/drupal_7/includes/menu.inc:1710
[20-Oct-2014 19:00:47 America/New_York] PHP  15. menu_local_tasks() /var/www/drupal_7/includes/menu.inc:2254
[20-Oct-2014 19:00:47 America/New_York] PHP  16. menu_get_item() /var/www/drupal_7/includes/menu.inc:1919
[20-Oct-2014 19:00:47 America/New_York] PHP  17. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[20-Oct-2014 19:00:47 America/New_York] PHP  18. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[20-Oct-2014 19:00:47 America/New_York] PHP  19. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[20-Oct-2014 19:00:47 America/New_York] PHP  20. php_eval() /var/www/drupal_7/includes/menu.inc:637
[21-Oct-2014 16:17:31 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[21-Oct-2014 16:17:31 America/New_York] PHP Stack trace:
[21-Oct-2014 16:17:31 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[21-Oct-2014 16:17:31 America/New_York] PHP   2. drupal_bootstrap() /var/www/drupal_7/index.php:20
[21-Oct-2014 16:17:31 America/New_York] PHP   3. _drupal_bootstrap_full() /var/www/drupal_7/includes/bootstrap.inc:2267
[21-Oct-2014 16:17:31 America/New_York] PHP   4. menu_set_custom_theme() /var/www/drupal_7/includes/common.inc:5155
[21-Oct-2014 16:17:31 America/New_York] PHP   5. menu_get_custom_theme() /var/www/drupal_7/includes/menu.inc:1770
[21-Oct-2014 16:17:31 America/New_York] PHP   6. menu_get_item() /var/www/drupal_7/includes/menu.inc:1755
[21-Oct-2014 16:17:31 America/New_York] PHP   7. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[21-Oct-2014 16:17:31 America/New_York] PHP   8. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[21-Oct-2014 16:17:31 America/New_York] PHP   9. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[21-Oct-2014 16:17:31 America/New_York] PHP  10. php_eval() /var/www/drupal_7/includes/menu.inc:637
[21-Oct-2014 16:17:42 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[21-Oct-2014 16:17:42 America/New_York] PHP Stack trace:
[21-Oct-2014 16:17:42 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[21-Oct-2014 16:17:42 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[21-Oct-2014 16:17:42 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[21-Oct-2014 16:17:42 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[21-Oct-2014 16:17:42 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[21-Oct-2014 16:17:42 America/New_York] PHP   6. block_page_build() /var/www/drupal_7/includes/common.inc:5747
[21-Oct-2014 16:17:42 America/New_York] PHP   7. block_get_blocks_by_region() /var/www/drupal_7/modules/block/block.module:268
[21-Oct-2014 16:17:42 America/New_York] PHP   8. block_list() /var/www/drupal_7/modules/block/block.module:318
[21-Oct-2014 16:17:42 America/New_York] PHP   9. _block_render_blocks() /var/www/drupal_7/modules/block/block.module:686
[21-Oct-2014 16:17:42 America/New_York] PHP  10. module_invoke() /var/www/drupal_7/modules/block/block.module:893
[21-Oct-2014 16:17:42 America/New_York] PHP  11. call_user_func_array() /var/www/drupal_7/includes/module.inc:866
[21-Oct-2014 16:17:42 America/New_York] PHP  12. system_block_view() /var/www/drupal_7/includes/module.inc:866
[21-Oct-2014 16:17:42 America/New_York] PHP  13. menu_get_active_help() /var/www/drupal_7/modules/system/system.module:2088
[21-Oct-2014 16:17:42 America/New_York] PHP  14. menu_tab_root_path() /var/www/drupal_7/includes/menu.inc:1710
[21-Oct-2014 16:17:42 America/New_York] PHP  15. menu_local_tasks() /var/www/drupal_7/includes/menu.inc:2254
[21-Oct-2014 16:17:42 America/New_York] PHP  16. menu_get_item() /var/www/drupal_7/includes/menu.inc:1919
[21-Oct-2014 16:17:42 America/New_York] PHP  17. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[21-Oct-2014 16:17:42 America/New_York] PHP  18. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[21-Oct-2014 16:17:42 America/New_York] PHP  19. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[21-Oct-2014 16:17:42 America/New_York] PHP  20. php_eval() /var/www/drupal_7/includes/menu.inc:637
[22-Oct-2014 08:16:52 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[22-Oct-2014 08:16:52 America/New_York] PHP Stack trace:
[22-Oct-2014 08:16:52 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[22-Oct-2014 08:16:52 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[22-Oct-2014 08:16:52 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[22-Oct-2014 08:16:52 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[22-Oct-2014 08:16:52 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[22-Oct-2014 08:16:52 America/New_York] PHP   6. block_page_build() /var/www/drupal_7/includes/common.inc:5747
[22-Oct-2014 08:16:52 America/New_York] PHP   7. block_get_blocks_by_region() /var/www/drupal_7/modules/block/block.module:268
[22-Oct-2014 08:16:52 America/New_York] PHP   8. block_list() /var/www/drupal_7/modules/block/block.module:318
[22-Oct-2014 08:16:52 America/New_York] PHP   9. _block_render_blocks() /var/www/drupal_7/modules/block/block.module:686
[22-Oct-2014 08:16:52 America/New_York] PHP  10. module_invoke() /var/www/drupal_7/modules/block/block.module:893
[22-Oct-2014 08:16:52 America/New_York] PHP  11. call_user_func_array() /var/www/drupal_7/includes/module.inc:866
[22-Oct-2014 08:16:52 America/New_York] PHP  12. system_block_view() /var/www/drupal_7/includes/module.inc:866
[22-Oct-2014 08:16:52 America/New_York] PHP  13. menu_get_active_help() /var/www/drupal_7/modules/system/system.module:2088
[22-Oct-2014 08:16:52 America/New_York] PHP  14. menu_tab_root_path() /var/www/drupal_7/includes/menu.inc:1710
[22-Oct-2014 08:16:52 America/New_York] PHP  15. menu_local_tasks() /var/www/drupal_7/includes/menu.inc:2254
[22-Oct-2014 08:16:52 America/New_York] PHP  16. menu_get_item() /var/www/drupal_7/includes/menu.inc:1919
[22-Oct-2014 08:16:52 America/New_York] PHP  17. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[22-Oct-2014 08:16:52 America/New_York] PHP  18. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[22-Oct-2014 08:16:52 America/New_York] PHP  19. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[22-Oct-2014 08:16:52 America/New_York] PHP  20. php_eval() /var/www/drupal_7/includes/menu.inc:637
[24-Oct-2014 18:09:24 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[24-Oct-2014 18:09:24 America/New_York] PHP Stack trace:
[24-Oct-2014 18:09:24 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[24-Oct-2014 18:09:24 America/New_York] PHP   2. drupal_bootstrap() /var/www/drupal_7/index.php:20
[24-Oct-2014 18:09:24 America/New_York] PHP   3. _drupal_bootstrap_full() /var/www/drupal_7/includes/bootstrap.inc:2267
[24-Oct-2014 18:09:24 America/New_York] PHP   4. menu_set_custom_theme() /var/www/drupal_7/includes/common.inc:5155
[24-Oct-2014 18:09:24 America/New_York] PHP   5. menu_get_custom_theme() /var/www/drupal_7/includes/menu.inc:1770
[24-Oct-2014 18:09:24 America/New_York] PHP   6. menu_get_item() /var/www/drupal_7/includes/menu.inc:1755
[24-Oct-2014 18:09:24 America/New_York] PHP   7. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[24-Oct-2014 18:09:24 America/New_York] PHP   8. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[24-Oct-2014 18:09:24 America/New_York] PHP   9. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[24-Oct-2014 18:09:24 America/New_York] PHP  10. php_eval() /var/www/drupal_7/includes/menu.inc:637
[24-Oct-2014 18:56:09 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[24-Oct-2014 18:56:09 America/New_York] PHP Stack trace:
[24-Oct-2014 18:56:09 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[24-Oct-2014 18:56:09 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[24-Oct-2014 18:56:09 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
[24-Oct-2014 18:56:09 America/New_York] PHP   4. drupal_deliver_html_page() /var/www/drupal_7/includes/common.inc:2557
[24-Oct-2014 18:56:09 America/New_York] PHP   5. drupal_render_page() /var/www/drupal_7/includes/common.inc:2669
[24-Oct-2014 18:56:09 America/New_York] PHP   6. block_page_build() /var/www/drupal_7/includes/common.inc:5747
[24-Oct-2014 18:56:09 America/New_York] PHP   7. block_get_blocks_by_region() /var/www/drupal_7/modules/block/block.module:268
[24-Oct-2014 18:56:09 America/New_York] PHP   8. block_list() /var/www/drupal_7/modules/block/block.module:318
[24-Oct-2014 18:56:09 America/New_York] PHP   9. _block_render_blocks() /var/www/drupal_7/modules/block/block.module:686
[24-Oct-2014 18:56:09 America/New_York] PHP  10. module_invoke() /var/www/drupal_7/modules/block/block.module:893
[24-Oct-2014 18:56:09 America/New_York] PHP  11. call_user_func_array() /var/www/drupal_7/includes/module.inc:866
[24-Oct-2014 18:56:09 America/New_York] PHP  12. system_block_view() /var/www/drupal_7/includes/module.inc:866
[24-Oct-2014 18:56:09 America/New_York] PHP  13. menu_get_active_help() /var/www/drupal_7/modules/system/system.module:2088
[24-Oct-2014 18:56:09 America/New_York] PHP  14. menu_tab_root_path() /var/www/drupal_7/includes/menu.inc:1710
[24-Oct-2014 18:56:09 America/New_York] PHP  15. menu_local_tasks() /var/www/drupal_7/includes/menu.inc:2254
[24-Oct-2014 18:56:09 America/New_York] PHP  16. menu_get_item() /var/www/drupal_7/includes/menu.inc:1919
[24-Oct-2014 18:56:09 America/New_York] PHP  17. _menu_translate() /var/www/drupal_7/includes/menu.inc:472
[24-Oct-2014 18:56:09 America/New_York] PHP  18. _menu_check_access() /var/www/drupal_7/includes/menu.inc:790
[24-Oct-2014 18:56:09 America/New_York] PHP  19. call_user_func_array() /var/www/drupal_7/includes/menu.inc:637
[24-Oct-2014 18:56:09 America/New_York] PHP  20. php_eval() /var/www/drupal_7/includes/menu.inc:637
[25-Oct-2014 15:35:21 America/New_York] PHP Parse error:  syntax error, unexpected 'dc96a40c7a6715' (T_STRING), expecting ']' in /var/www/drupal_7/modules/php/php.module(80) : eval()'d code on line 1
[25-Oct-2014 15:35:21 America/New_York] PHP Stack trace:
[25-Oct-2014 15:35:21 America/New_York] PHP   1. {main}() /var/www/drupal_7/index.php:0
[25-Oct-2014 15:35:21 America/New_York] PHP   2. menu_execute_active_handler() /var/www/drupal_7/index.php:21
[25-Oct-2014 15:35:21 America/New_York] PHP   3. drupal_deliver_page() /var/www/drupal_7/includes/menu.inc:532
